//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile agressivenessType
1678 - 1000 1612 1613 1611 5 2 60 20 MELEE -1 -1 PASSIVE
1 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
2 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
3 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
4 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//
5 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//
6 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//
7 - 120 -1 -1 -1 4 1 60 19 MELEE -1 -1 PASSIVE
//
8 - 160 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
9 - 220 390 424 836 5 1 60 34 MELEE -1 -1 PASSIVE
//Paladin - 62
20 - 660 390 424 836 5 1 60 89 MELEE -1 -1 PASSIVE
//Hero - 69
21 - 880 -1 -1 -1 4 1 60 91 MELEE -1 -1 PASSIVE
//Hobgoblin - 28
13100 - 230 164 165 -1 3 2 60 48 MELEE -1 -1 AGRESSIVE
//Pirate - 23
6346 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 23
6347 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 23
6348 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 23
6349 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 23
6350 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 26
6351 - 230 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 26
6352 - 230 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 26
6353 - 230 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 26
6354 - 230 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 26
6355 - 230 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Pirate - 26
6356 - 230 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
// pest control
3782 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE
3784 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE
3785 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE
6146 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE
6147 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE
6148 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE
6149 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE
6142 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE
6143 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE
6144 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE
6145 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE
//shifters
3732 - 230 3901 3902 3903 5 4 60 51 SPECIAL -1 -1 AGRESSIVE
3733 - 380 3901 3902 3903 5 4 60 66 SPECIAL -1 -1 AGRESSIVE
3734 - 530 3901 3902 3903 5 4 60 81 SPECIAL -1 -1 AGRESSIVE
3735 - 680 3901 3902 3903 5 4 60 89 SPECIAL -1 -1 AGRESSIVE
3736 - 830 3901 3902 3903 5 4 60 97 SPECIAL -1 -1 AGRESSIVE
3737 - 230 3901 3902 3903 5 4 60 51 SPECIAL -1 -1 AGRESSIVE
3738 - 380 3901 3902 3903 5 4 60 66 SPECIAL -1 -1 AGRESSIVE
3739 - 530 3901 3902 3903 5 4 60 81 SPECIAL -1 -1 AGRESSIVE
3740 - 680 3901 3902 3903 5 4 60 89 SPECIAL -1 -1 AGRESSIVE
3741 - 830 3901 3902 3903 5 4 60 97 SPECIAL -1 -1 AGRESSIVE
// brawlers
3772 - 530 3897 3895 3894 5 2 60 71 MELEE -1 -1 AGRESSIVE
3773 - 830 3897 3895 3894 5 2 60 96 MELEE -1 -1 AGRESSIVE
3774 - 970 3897 3895 3894 5 2 60 100 MELEE -1 -1 AGRESSIVE
3775 - 1130 3897 3895 3894 5 2 60 121 MELEE -1 -1 AGRESSIVE
3776 - 1430 3897 3895 3894 5 2 60 146 MELEE -1 -1 AGRESSIVE
// spinners
3747 - 330 3908 3909 3910 5 4 60 51 MELEE -1 -1 AGRESSIVE
3748 - 630 3908 3909 3910 5 4 60 66 MELEE -1 -1 AGRESSIVE
3749 - 780 3908 3909 3910 5 4 60 81 MELEE -1 -1 AGRESSIVE
3750 - 940 3908 3909 3910 5 4 60 90 MELEE -1 -1 AGRESSIVE
3751 - 1010 3908 3909 3910 5 4 60 96 MELEE -1 -1 AGRESSIVE
//ravagers
3742 - 230 3915 3916 3917 5 4 60 71 MELEE -1 -1 AGRESSIVE
3743 - 380 3915 3916 3917 5 4 60 96 MELEE -1 -1 AGRESSIVE
3744 - 530 3915 3916 3917 5 4 60 121 MELEE -1 -1 AGRESSIVE
3745 - 680 3915 3916 3917 5 4 60 146 MELEE -1 -1 AGRESSIVE
3746 - 830 3915 3916 3917 5 4 60 171 MELEE -1 -1 AGRESSIVE
// splatters
3727 - 130 3891 3890 -1 5 4 60 31 MELEE -1 -1 AGRESSIVE
3728 - 230 3891 3890 -1 5 4 60 36 MELEE -1 -1 AGRESSIVE
3729 - 480 3891 3890 -1 5 4 60 41 MELEE -1 -1 AGRESSIVE
3730 - 670 3891 3890 -1 5 4 60 46 MELEE -1 -1 AGRESSIVE
3731 - 810 3891 3890 -1 5 4 60 51 MELEE -1 -1 AGRESSIVE
// defiler
3762 - 270 3920 3921 3922 5 4 60 60 RANGE 657 656 AGRESSIVE
3764 - 450 3920 3921 3922 5 4 60 80 RANGE 657 656 AGRESSIVE
3766 - 620 3920 3921 3922 5 4 60 99 RANGE 657 656 AGRESSIVE
3768 - 780 3920 3921 3922 5 4 60 112 RANGE 657 656 AGRESSIVE
3770 - 970 3920 3921 3922 5 4 60 132 RANGE 657 656 AGRESSIVE
// torchers
3752 - 180 3882 3880 3881 5 4 60 60 MAGE 646 647 AGRESSIVE
3754 - 300 3882 3880 3881 5 4 60 80 MAGE 646 647 AGRESSIVE
3756 - 480 3882 3880 3881 5 4 60 99 MAGE 646 647 AGRESSIVE
3758 - 630 3882 3880 3881 5 4 60 111 MAGE 646 647 AGRESSIVE
3760 - 830 3882 3880 3881 5 4 60 121 MAGE 646 647 AGRESSIVE
//Wildywyrm / lava strykewyrm
2417 - 10000 -1 -1 12793 0 0 60 0 MELEE -1 -1 PASSIVE
3334 - 10000 12791 12792 12793 4 4 60 722 SPECIAL -1 2314 AGRESSIVE
20629 - 2500 -1 -1 12793 0 1 60 0 SPECIAL -1 2314 PASSIVE
20630 - 2500 12791 12792 12793 4 4 60 722 SPECIAL -1 2314 PASSIVE
//unicorn
89 - 290 6376 6375 6377 5 1 60 38 MELEE -1 -1 PASSIVE
//Grifolapine
14688 - 1900 15484 15485 15488 4 3 140 225 MAGE -1 -1 PASSIVE
//Grifolaroo
14700 - 1780 15492 15497 15499 2 5 120 175 MAGE -1 -1 PASSIVE
//Infested Axe
14694 - 900 15502 15503 15504 2 1 25 75 MELEE -1 -1 PASSIVE
//Fungal Mage
14690 - 1400 15509 15508 15511 4 3 65 140 MAGE 2034 2034 PASSIVE
//Fungal Rodents
14692 - 400 15514 15515 15518 4 3 20 90 MELEE -1 -1 PASSIVE
//Young Grotworm - 10
15461 - 180 16776 16793 16790 5 1 40 10 MAGE -1 -1 AGRESSIVE
//Grotworm - 91
15462 - 470 16776 16793 16790 5 1 40 80 MAGE -1 -1 AGRESSIVE
//Mature Grotworm
15463 - 1200 16776 16793 16790 5 5 60 140 MAGE -1 -1 AGRESSIVE
//cutscene grotworm
15495 - 20 -1 -1 -1 5 5 60 10 MELEE -1 -1 PASSIVE
//Ganodermic Beasts
14696 - 1000 15466 15468 15473 5 3 30 270 MAGE 2034 2034 PASSIVE
14697 - 2500 15466 15468 15473 5 3 30 270 MAGE 2034 2034 PASSIVE
//
13 - 4000 1979 -1 -1 3 5 15 280 MAGE -1 369 PASSIVE
//
16 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
18 - 190 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//thunderous
19 - 5000 530 -1 -1 3 5 15 280 MELEE -1 -1 PASSIVE
//TokHaar-Hur
24 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
25 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//
32 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//
38 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
39 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
41 - 30 24185 5388 3806 5 1 60 15 MELEE -1 -1 PASSIVE
//
46 - 30 -1 -1 -1 4 1 60 8 MELEE -1 -1 PASSIVE
//
47 - 20 -1 -1 -1 5 1 60 15 MELEE -1 -1 PASSIVE
//
48 - 400 -1 -1 -1 5 1 60 50 MELEE -1 -1 PASSIVE
//
49 - 1150 6562 6563 6564 5 1 60 118 MELEE -1 -1 AGRESSIVE
//kbd
50 - 2400 17782 17779 17780 5 3 60 254 SPECIAL -1 -1 AGRESSIVE
//pest control portals
51 - 1600 13151 13154 13153 5 1 60 213 SPECIAL -1 -1 AGRESSIVE
//
52 - 510 -1 -1 -1 5 1 60 60 MELEE -1 -1 AGRESSIVE
//
53 - 1400 12252 12251 12250 5 1 60 144 SPECIAL2 -1 -1 AGRESSIVE
//
54 - 1900 12252 12251 12250 5 1 60 214 SPECIAL2 -1 -1 AGRESSIVE
//chins
55 - 1050 12252 12251 12250 5 1 60 110 SPECIAL2 -1 -1 AGRESSIVE
//charms
58 - 550 -1 -1 -1 4 1 60 56 MELEE -1 -1 AGRESSIVE
//TokHaar-Ket-Dill
60 - 7000 5327 5328 5329 5 1 60 15 MELEE -1 3196 AGRESSIVE
//TokHaar-Ket-Dill (after armour broken by pickaxe)
61 - 20 -1 -1 -1 4 1 60 15 MELEE -1 -1 AGRESSIVE
//Har-Aken (Ranged Tentacle)
62 - 6000 -1 -1 -1 4 1 60 50 RANGE -1 3196 AGRESSIVE
//Har-Aken (Magic Tentacle)
63 - 350 5327 5328 5329 4 1 60 40 MELEE -1 -1 AGRESSIVE
//jads jad, TokHaar-Jad
64 - 650 5327 5328 5329 5 2 60 60 MELEE -1 -1 AGRESSIVE
//
70 - 5000 393 425 836 3 1 15 450 SPECIAL -1 -1 AGRESSIVE
//Bork
73 - 220 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//
74 - 240 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Summoning 17 out of 74 so far
75 - 300 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Barricade
76 - 300 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//
78 - 320 4915 4916 4917 4 1 36 0 MELEE -1 -1 AGRESSIVE
//War tortoise
79 - 780 4915 4916 4917 4 1 60 80 MELEE -1 -1 AGRESSIVE
//
81 - 107 245 150 244 6 1 60 15 MELEE -1 -1 PASSIVE
//Void spinner
82 - 790 64 65 67 5 1 60 85 MELEE -1 -1 AGRESSIVE
//
83 - 870 17463 65 17464 5 1 60 97 MELEE -1 -1 AGRESSIVE
//PackYak
84 - 1570 -1 -1 -1 5 1 60 167 MELEE -1 -1 AGRESSIVE
//
86 - 53 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//Wolptinger
87 - 100 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//
88 - 120 -1 -1 -1 5 1 60 20 MELEE -1 -1 AGRESSIVE
//Unicorn Stallion
94 - 170 -1 -1 -1 4 1 60 100 MAGE -1 -1 PASSIVE
//
97 - 450 -1 -1 -1 4 1 60 60 MELEE -1 -1 AGRESSIVE
//Spirit Wolf
100 - 50 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//
101 - 64 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//DreadFowl
102 - 120 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//
103 - 250 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//Spirit Spider
104 - 250 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//
105 - 270 4925 4927 4929 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Thorny Snail
106 - 250 -1 -1 -1 4 1 60 40 MELEE -1 -1 PASSIVE
//
107 - 170 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Spirit Mosquito
108 - 230 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//
109 - 320 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Granit Crab
110 - 1110 -1 -1 -1 6 1 60 116 MELEE -1 -1 AGRESSIVE
//
111 - 700 4672 4671 4673 6 1 60 77 MELEE -1 -1 AGRESSIVE
//Desert Wyrm
112 - 600 -1 -1 -1 7 1 60 110 MELEE -1 -1 AGRESSIVE
//
113 - 600 -1 -1 -1 7 1 60 73 MELEE -1 -1 AGRESSIVE
//Spirit Scorpian
114 - 480 -1 -1 -1 5 1 60 89 MELEE -1 -1 AGRESSIVE
//
115 - 600 -1 -1 -1 7 1 60 73 MELEE -1 -1 AGRESSIVE
//Spriit Tz-keh
116 - 750 -1 -1 -1 5 1 60 60 MELEE -1 -1 AGRESSIVE
//
117 - 350 4652 4654 4653 7 1 60 48 MELEE -1 -1 AGRESSIVE
//Albino Rat
118 - 160 99 100 102 7 1 60 48 MELEE -1 -1 PASSIVE
//
119 - 610 -1 -1 -1 5 1 60 63 MELEE -1 -1 AGRESSIVE
//Earth warrior - 51
124 - 540 -1 -1 -1 5 1 60 56 MELEE -1 -1 AGRESSIVE
//
125 - 590 -1 -1 -1 5 1 60 61 MELEE -1 -1 AGRESSIVE
//Bunyip
126 - 11000 -1 -1 -1 3 3 10 400 RANGE -1 2853 AGRESSIVE
//
127 - 440 -1 -1 -1 4 1 60 70 MELEE -1 -1 AGRESSIVE
//Abbysal Titan
133 - 290 6376 6375 6377 5 1 60 38 MELEE -1 -1 PASSIVE
//
134 - 640 5327 5328 5329 5 2 60 72 MELEE -1 -1 AGRESSIVE
//Lava Titan
138 - 340 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//
139 - 340 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//Geyser Titan
140 - 240 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
141 - 740 -1 -1 -1 4 1 60 74 MELEE -1 -1 AGRESSIVE
//Fire Titan
143 - 690 -1 -1 -1 4 1 60 69 MELEE -1 -1 AGRESSIVE
//
144 - 300 -1 -1 -1 5 1 60 40 MELEE -1 -1 AGRESSIVE
//Ice Titan
145 - 590 -1 -1 -1 5 1 60 61 MELEE -1 -1 AGRESSIVE
//
152 - 3000 10542 425 836 3 1 15 280 SPECIAL 2701 2712 AGRESSIVE
//Moss Titan 
158 - 670 -1 -1 -1 5 1 60 65 MELEE -1 -1 AGRESSIVE
//
168 - 20 -1 -1 -1 4 1 60 10 RANGE -1 -1 PASSIVE
//Swamp Titan
169 - 20 -1 -1 -1 4 1 60 10 RANGE -1 -1 PASSIVE
//
170 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Iron Titan
172 - 250 -1 -1 -1 4 1 60 20 MAGE -1 -1 AGRESSIVE
//
173 - 240 -1 -1 -1 5 1 60 30 MELEE -1 -1 PASSIVE
//Spirit Terror Bird
174 - 120 -1 -1 -1 4 1 60 20 MAGE -1 -1 AGRESSIVE
//
175 - 80 -1 -1 -1 4 1 60 14 MELEE -1 -1 AGRESSIVE
//Lucien custom boss
178 - 420 390 388 836 6 1 60 47 MELEE -1 -1 AGRESSIVE
//
179 - 420 390 388 836 6 1 60 47 MELEE -1 -1 AGRESSIVE
//
180 - 130 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//DT Bouncer
181 - 200 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//DT Black Knight Titan 
182 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Evil Chicken
183 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
// Elvarg
184 - 230 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//DT Elvarg
187 - 170 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//Astea Frostweb
188 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
189 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
190 - 400 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
193 - 400 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//
201 - 470 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//
202 - 370 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//
203 - 370 -1 -1 -1 5 1 60 40 MELEE -1 -1 PASSIVE
//
204 - 370 -1 -1 -1 5 1 60 40 MELEE -1 -1 PASSIVE
//
205 - 700 -1 -1 -1 4 1 60 74 MELEE -1 -1 AGRESSIVE
//
213 - 3750 426 425 836 3 1 15 350 SPECIAL -1 -1 AGRESSIVE
//
221 - 1420 -1 -1 -1 4 1 60 150 MELEE -1 -1 AGRESSIVE
//
224 - 120 -1 -1 -1 5 1 60 20 MELEE -1 -1 AGRESSIVE
//
226 - 4500 12002 425 836 3 1 15 400 SPECIAL -1 -1 AGRESSIVE
//
237 - 490 -1 -1 -1 4 1 60 75 MELEE -1 -1 AGRESSIVE
//
238 - 800 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//
247 - 500 -1 -1 -1 4 1 60 57 MELEE -1 -1 AGRESSIVE
//
255 - 220 -1 -1 -1 6 1 60 30 MELEE -1 -1 PASSIVE
//
256 - 220 -1 -1 -1 6 1 60 30 MELEE -1 -1 PASSIVE
//
269 - 1160 -1 -1 -1 4 1 60 140 MELEE -1 -1 AGRESSIVE
//
274 - 500 -1 -1 -1 4 1 60 60 MELEE -1 -1 PASSIVE
//
277 - 590 -1 -1 -1 4 1 60 80 MAGE -1 -1 PASSIVE
//
282 - 160 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
296 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//
297 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//
298 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//
299 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//
374 - 700 -1 -1 -1 7 1 60 73 MELEE -1 -1 AGRESSIVE
//
397 - 107 245 150 244 6 1 60 15 MELEE -1 -1 PASSIVE
//
412 - 80 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//
444 - 64 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//
445 - 64 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//
446 - 50 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//
447 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//
448 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//
449 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//
459 - 180 -1 -1 -1 4 1 60 30 MAGE -1 -1 AGRESSIVE
//
475 - 220 -1 -1 -1 6 1 60 33 MELEE -1 -1 PASSIVE
//
477 - 1690 -1 -1 -1 5 1 60 92 MELEE -1 -1 AGRESSIVE
//
491 - 200 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//
493 - 70 -1 -1 -1 4 1 60 50 MELEE -1 -1 PASSIVE
//
502 - 470 -1 -1 -1 1 1 60 77 MELEE -1 -1 AGRESSIVE
//
504 - 470 -1 -1 -1 1 1 60 77 MELEE -1 -1 AGRESSIVE
//
505 - 600 -1 -1 -1 1 1 60 77 MELEE -1 -1 AGRESSIVE
//
507 - 1000 -1 -1 -1 4 1 60 90 MELEE -1 -1 AGRESSIVE
//
508 - 750 -1 -1 -1 4 1 60 90 MELEE -1 -1 AGRESSIVE
//
509 - 1100 -1 -1 -1 4 1 60 90 MELEE -1 -1 AGRESSIVE
//
609 - 220 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//
645 - 80 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//
655 - 850 -1 -1 -1 5 1 5 60 MELEE -1 -1 PASSIVE
//
667 - 600 -1 -1 -1 4 1 60 180 MELEE -1 -1 AGRESSIVE
//
677 - 1570 -1 -1 -1 5 1 60 167 MELEE -1 -1 AGRESSIVE
//
688 - 300 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//
689 - 500 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//
690 - 700 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//
691 - 900 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//
742 - 800 12252 12251 12250 5 1 60 100 SPECIAL2 -1 -1 AGRESSIVE
//
749 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//
750 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//Gluttonous behemoth
751 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//
752 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//
753 - 440 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//
767 - 880 -1 -1 -1 4 1 60 120 MAGE -1 -1 AGRESSIVE
//
795 - 1050 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//
799 - 250 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
827 - 180 -1 -1 -1 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
837 - 320 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//
840 - 460 -1 -1 -1 5 1 60 40 MELEE -1 -1 AGRESSIVE
//
842 - 400 -1 -1 -1 4 1 60 60 MELEE -1 -1 AGRESSIVE
//
852 - 600 -1 -1 -1 5 1 60 90 MELEE -1 -1 PASSIVE
//
856 - 810 -1 -1 -1 4 1 60 70 MELEE -1 -1 PASSIVE
//
870 - 800 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//
878 - 710 -1 -1 -1 5 1 60 40 MELEE -1 -1 PASSIVE
//
879 - 70 64 65 67 4 4 60 30 MELEE -1 -1 PASSIVE
//
893 - 250 -1 -1 -1 4 1 60 200 MELEE -1 -1 PASSIVE
//
894 - 250 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//barrow brothers
912 - 1000 -1 -1 -1 4 1 60 200 MAGE -1 -1 AGRESSIVE
//dharok maxhit 300 + 380 at 0hp
913 - 1000 -1 -1 -1 4 1 60 200 MAGE -1 -1 AGRESSIVE
//
914 - 1000 -1 -1 -1 4 1 60 200 MAGE -1 -1 AGRESSIVE
//
917 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//
931 - 900 -1 -1 -1 4 1 60 140 MELEE -1 -1 AGRESSIVE
//Man - 2
934 - 1500 -1 -1 -1 4 1 60 180 MELEE -1 -1 AGRESSIVE
//Black Unicorn - 27
938 - 1300 -1 -1 -1 4 1 60 230 MELEE -1 -1 AGRESSIVE
//Man - 2
941 - 750 12252 12251 12250 5 1 60 85 SPECIAL2 -1 -1 AGRESSIVE
//Man - 2
