//Unpacked NPC drops dump - by Emperor
//When setting "isRare" to true; it will create a drop with all values set to 0.
//Format: [npcId]: itemId, rate, min-amt, max-amt, isRare
[8800]: 15243, 73.0, 100, 100, false
[8800]: 1299, 56.0, 1, 1, false
[8800]: 1181, 59.0, 1, 1, false
[8800]: 830, 8.0, 5, 5, false
[8800]: 1247, 9.0, 1, 1, false
[8800]: 2366, 1.0, 1, 1, false
[8800]: 556, 92.0, 24, 24, false
[8800]: 562, 85.0, 10, 20, false
[8800]: 564, 89.0, 3, 3, false
[8800]: 560, 71.0, 3, 3, false
[8800]: 563, 72.0, 3, 30, false
[8800]: 558, 92.0, 37, 37, false
[8800]: 561, 64.0, 9, 9, false
[8800]: 555, 97.0, 10, 10, false
[8800]: 1623, 59.0, 1, 1, false
[8800]: 1621, 62.0, 1, 1, false
[8800]: 1619, 62.0, 1, 1, false
[8800]: 1617, 40.0, 1, 1, false
[8800]: 995, 97.0, 1, 1, false
[8800]: 1462, 33.0, 1, 1, false
[8800]: 991, 94.0, 1, 1, false
[8800]: 1157, 80.0, 1, 1, false
[8800]: 987, 55.0, 1, 1, false
[8800]: 985, 62.0, 1, 1, false
[8800]: 1982, 58.0, 1, 1, false
[8800]: 1985, 68.0, 1, 1, false
[8800]: 2359, 60.0, 1, 1, false
[8800]: 0, 0.0, 0, 0, true
[4400]: 556, 66.0, 1, 4, false
[4400]: 557, 68.0, 4, 4, false
[4400]: 554, 69.0, 6, 6, false
[4400]: 559, 44.0, 7, 7, false
[4400]: 1139, 91.0, 1, 1, false
[4400]: 877, 67.0, 8, 8, false
[4400]: 882, 69.0, 4, 8, false
[4400]: 839, 45.0, 1, 1, false
[4400]: 1189, 6.0, 1, 1, false
[4400]: 1381, 36.0, 1, 1, false
[4400]: 556, 50.0, 1, 1, false
[4400]: 995, 75.0, 7000, 9000, false
[4400]: 1965, 93.0, 1, 1, false
[4400]: 2307, 92.0, 1, 1, false
[4400]: 1440, 57.0, 1, 1, false
[4400]: 1438, 34.0, 1, 1, false
[4400]: 1956, 26.0, 2, 2, false
[4400]: 1009, 49.0, 1, 1, false
[4400]: 229, 29.0, 1, 1, false
[4401]: 995, 80.0, 1, 2, false
[4401]: 1440, 97.0, 1, 1, false
[4401]: 2307, 77.0, 1, 1, false
[4401]: 558, 96.0, 1, 1, false
[4401]: 554, 61.0, 1, 4, false
[4401]: 557, 70.0, 1, 4, false
[4401]: 877, 69.0, 1, 4, false
[4401]: 1965, 56.0, 1, 1, false
[4401]: 839, 35.0, 1, 1, false
[1]: 526, 100.0, 1, 1, false
[1]: 555, 74.0, 7, 7, false
[1]: 557, 56.0, 4, 4, false
[1]: 554, 69.0, 6, 6, false
[1]: 558, 72.0, 9, 9, false
[1]: 562, 43.0, 2, 2, false
[1]: 559, 3.0, 7, 7, false
[1]: 199, 75.0, 1, 1, false
[1]: 201, 57.0, 1, 1, false
[1]: 203, 64.0, 1, 1, false
[1]: 205, 58.0, 1, 1, false
[1]: 207, 57.0, 1, 1, false
[1]: 213, 74.0, 1, 1, false
[1]: 209, 59.0, 1, 1, false
[1]: 211, 48.0, 1, 1, false
[1]: 215, 44.0, 1, 1, false
[1]: 217, 42.0, 1, 1, false
[1]: 2485, 53.0, 1, 1, false
[1]: 556, 83.0, 1, 1, false
[1]: 877, 83.0, 1, 2, false
[1]: 882, 64.0, 7, 7, false
[1]: 1203, 63.0, 1, 1, false
[1]: 1139, 66.0, 1, 1, false
[1]: 1381, 46.0, 1, 1, false
[1]: 995, 97.0, 1, 1, false
[1]: 1438, 72.0, 1, 1, false
[1]: 1440, 72.0, 1, 1, false
[1]: 1965, 69.0, 1, 1, false
[1]: 313, 71.0, 1, 1, false
[1]: 436, 59.0, 1, 1, false
[1]: 438, 55.0, 1, 1, false
[4402]: 995, 75.0, 9000, 10000, false
[4402]: 249, 1000.0, 1, 1, false
[4402]: 263, 90.0, 1, 1, false
[4402]: 257, 75.0, 1, 1, false
[2]: 526, 100.0, 1, 1, false
[2]: 555, 56.0, 7, 7, false
[2]: 557, 59.0, 4, 4, false
[2]: 554, 65.0, 6, 6, false
[2]: 558, 66.0, 9, 9, false
[2]: 562, 38.0, 2, 2, false
[2]: 559, 3.0, 7, 7, false
[2]: 199, 84.0, 1, 1, false
[2]: 201, 55.0, 1, 1, false
[2]: 203, 60.0, 1, 1, false
[2]: 205, 62.0, 1, 1, false
[2]: 207, 64.0, 1, 1, false
[2]: 213, 71.0, 1, 1, false
[2]: 209, 56.0, 1, 1, false
[2]: 211, 50.0, 1, 1, false
[2]: 215, 47.0, 1, 1, false
[2]: 217, 28.0, 1, 1, false
[2]: 2485, 52.0, 1, 1, false
[2]: 556, 88.0, 1, 1, false
[2]: 877, 98.0, 1, 2, false
[2]: 882, 55.0, 7, 7, false
[2]: 1203, 68.0, 1, 1, false
[2]: 1139, 68.0, 1, 1, false
[2]: 1381, 28.0, 1, 1, false
[2]: 995, 83.0, 1, 1, false
[2]: 1438, 56.0, 1, 1, false
[2]: 1440, 60.0, 1, 1, false
[2]: 1965, 61.0, 1, 1, false
[2]: 313, 59.0, 1, 1, false
[2]: 436, 73.0, 1, 1, false
[2]: 438, 55.0, 1, 1, false
[4403]: 995, 75.0, 6500, 8500, false
[4403]: 249, 100.0, 1, 1, false
[4403]: 263, 70.0, 1, 1, false
[4403]: 257, 50.0, 1, 1, false
[3]: 526, 100.0, 1, 1, false
[3]: 555, 60.0, 7, 7, false
[3]: 557, 57.0, 4, 4, false
[3]: 554, 63.0, 6, 6, false
[3]: 558, 65.0, 9, 9, false
[3]: 562, 35.0, 2, 2, false
[3]: 559, 4.0, 7, 7, false
[3]: 199, 83.0, 1, 1, false
[3]: 201, 55.0, 1, 1, false
[3]: 203, 68.0, 1, 1, false
[3]: 205, 62.0, 1, 1, false
[3]: 207, 61.0, 1, 1, false
[3]: 213, 59.0, 1, 1, false
[3]: 209, 74.0, 1, 1, false
[3]: 211, 28.0, 1, 1, false
[3]: 215, 27.0, 1, 1, false
[3]: 217, 47.0, 1, 1, false
[3]: 2485, 45.0, 1, 1, false
[3]: 556, 96.0, 1, 1, false
[3]: 877, 91.0, 1, 2, false
[3]: 882, 73.0, 7, 7, false
[3]: 1203, 63.0, 1, 1, false
[3]: 1139, 64.0, 1, 1, false
[3]: 1381, 54.0, 1, 1, false
[3]: 995, 83.0, 1, 1, false
[3]: 1438, 68.0, 1, 1, false
[3]: 1440, 69.0, 1, 1, false
[3]: 1965, 64.0, 1, 1, false
[3]: 313, 63.0, 1, 1, false
[3]: 436, 63.0, 1, 1, false
[3]: 438, 66.0, 1, 1, false
[4404]: 526, 100.0, 1, 1, false
[4404]: 1237, 90.0, 1, 1, false
[4404]: 1155, 80.0, 1, 1, false
[4404]: 884, 93.0, 1, 5, false
[4404]: 1205, 92.0, 1, 1, false
[4404]: 882, 99.0, 3, 3, false
[4404]: 556, 63.0, 1, 1, false
[4404]: 1381, 69.0, 1, 1, false
[4404]: 830, 51.0, 5, 5, false
[4404]: 439, 80.0, 1, 1, false
[4404]: 437, 93.0, 1, 1, false
[4404]: 7937, 86.0, 1, 5, false
[4404]: 1437, 67.0, 1, 5, false
[4404]: 1623, 48.0, 1, 1, false
[4404]: 1621, 37.0, 1, 1, false
[4404]: 1619, 29.0, 1, 1, false
[4404]: 1617, 6.0, 1, 1, false
[4404]: 2357, 46.0, 1, 1, false
[4404]: 995, 75.0, 1500, 2300, false
[4404]: 555, 63.0, 5, 5, false
[4404]: 557, 71.0, 5, 5, false
[4404]: 2142, 31.0, 1, 1, false
[4404]: 558, 79.0, 1, 1, false
[4404]: 1442, 38.0, 1, 1, false
[4404]: 1462, 39.0, 1, 1, false
[4404]: 987, 4.0, 1, 1, false
[4404]: 985, 3.0, 1, 1, false
[4404]: 2366, 9.0, 1, 1, false
[4404]: 0, 0.0, 0, 0, true
[4]: 526, 100.0, 1, 1, false
[4]: 882, 69.0, 7, 7, false
[4]: 877, 64.0, 2, 7, false
[4]: 1203, 57.0, 1, 1, false
[4]: 1139, 63.0, 1, 1, false
[4]: 1381, 33.0, 1, 1, false
[4]: 555, 60.0, 7, 7, false
[4]: 557, 64.0, 4, 4, false
[4]: 554, 65.0, 6, 6, false
[4]: 558, 58.0, 9, 9, false
[4]: 562, 42.0, 2, 2, false
[4]: 559, 5.0, 7, 7, false
[4]: 199, 63.0, 1, 1, false
[4]: 201, 67.0, 1, 1, false
[4]: 203, 68.0, 1, 1, false
[4]: 205, 73.0, 1, 1, false
[4]: 209, 73.0, 1, 1, false
[4]: 213, 69.0, 1, 1, false
[4]: 207, 35.0, 1, 1, false
[4]: 211, 51.0, 1, 1, false
[4]: 215, 38.0, 1, 1, false
[4]: 217, 42.0, 1, 1, false
[4]: 2485, 32.0, 1, 1, false
[4]: 995, 80.0, 1, 1, false
[4]: 1965, 74.0, 1, 1, false
[4]: 313, 59.0, 1, 1, false
[4]: 436, 72.0, 1, 1, false
[4]: 438, 72.0, 1, 1, false
[4]: 1438, 66.0, 1, 1, false
[4]: 1440, 61.0, 1, 1, false
[4405]: 526, 100.0, 1, 1, false
[4405]: 1237, 94.0, 1, 1, false
[4405]: 1155, 75.0, 1, 1, false
[4405]: 884, 92.0, 1, 5, false
[4405]: 1205, 77.0, 1, 1, false
[4405]: 882, 75.0, 3, 3, false
[4405]: 556, 71.0, 1, 1, false
[4405]: 1381, 64.0, 1, 1, false
[4405]: 830, 38.0, 5, 5, false
[4405]: 439, 82.0, 1, 1, false
[4405]: 437, 76.0, 1, 1, false
[4405]: 7937, 87.0, 1, 5, false
[4405]: 1437, 68.0, 1, 5, false
[4405]: 1623, 42.0, 1, 1, false
[4405]: 1621, 46.0, 1, 1, false
[4405]: 1619, 54.0, 1, 1, false
[4405]: 1617, 8.0, 1, 1, false
[4405]: 2357, 31.0, 1, 1, false
[4405]: 995, 75.0, 3000, 4000, false
[4405]: 555, 55.0, 5, 5, false
[4405]: 557, 60.0, 5, 5, false
[4405]: 2142, 29.0, 1, 1, false
[4405]: 558, 77.0, 1, 1, false
[4405]: 1442, 28.0, 1, 1, false
[4405]: 1462, 42.0, 1, 1, false
[4405]: 987, 1.0, 1, 1, false
[4405]: 985, 5.0, 1, 1, false
[4405]: 2366, 1.0, 1, 1, false
[4405]: 0, 0.0, 0, 0, true
[5]: 526, 100.0, 1, 1, false
[5]: 882, 61.0, 7, 7, false
[5]: 877, 74.0, 2, 7, false
[5]: 1203, 64.0, 1, 1, false
[5]: 1139, 72.0, 1, 1, false
[5]: 1381, 40.0, 1, 1, false
[5]: 555, 63.0, 7, 7, false
[5]: 557, 58.0, 4, 4, false
[5]: 554, 67.0, 6, 6, false
[5]: 558, 68.0, 9, 9, false
[5]: 562, 29.0, 2, 2, false
[5]: 559, 4.0, 7, 7, false
[5]: 199, 66.0, 1, 1, false
[5]: 201, 58.0, 1, 1, false
[5]: 203, 69.0, 1, 1, false
[5]: 205, 59.0, 1, 1, false
[5]: 209, 58.0, 1, 1, false
[5]: 213, 72.0, 1, 1, false
[5]: 207, 33.0, 1, 1, false
[5]: 211, 30.0, 1, 1, false
[5]: 215, 47.0, 1, 1, false
[5]: 217, 34.0, 1, 1, false
[5]: 2485, 45.0, 1, 1, false
[5]: 995, 98.0, 1, 1, false
[5]: 1965, 58.0, 1, 1, false
[5]: 313, 66.0, 1, 1, false
[5]: 436, 67.0, 1, 1, false
[5]: 438, 56.0, 1, 1, false
[5]: 1438, 55.0, 1, 1, false
[5]: 1440, 59.0, 1, 1, false
[6]: 526, 100.0, 1, 1, false
[6]: 882, 62.0, 7, 7, false
[6]: 877, 64.0, 2, 7, false
[6]: 1203, 68.0, 1, 1, false
[6]: 1139, 57.0, 1, 1, false
[6]: 1381, 39.0, 1, 1, false
[6]: 555, 56.0, 7, 7, false
[6]: 557, 55.0, 4, 4, false
[6]: 554, 65.0, 6, 6, false
[6]: 558, 66.0, 9, 9, false
[6]: 562, 51.0, 2, 2, false
[6]: 559, 8.0, 7, 7, false
[6]: 199, 62.0, 1, 1, false
[6]: 201, 59.0, 1, 1, false
[6]: 203, 65.0, 1, 1, false
[6]: 205, 56.0, 1, 1, false
[6]: 209, 55.0, 1, 1, false
[6]: 213, 62.0, 1, 1, false
[6]: 207, 30.0, 1, 1, false
[6]: 211, 46.0, 1, 1, false
[6]: 215, 26.0, 1, 1, false
[6]: 217, 40.0, 1, 1, false
[6]: 2485, 48.0, 1, 1, false
[6]: 995, 92.0, 1, 1, false
[6]: 1965, 60.0, 1, 1, false
[6]: 313, 71.0, 1, 1, false
[6]: 436, 72.0, 1, 1, false
[6]: 438, 60.0, 1, 1, false
[6]: 1438, 57.0, 1, 1, false
[6]: 1440, 73.0, 1, 1, false
[4406]: 526, 100.0, 1, 1, false
[4406]: 1237, 84.0, 1, 1, false
[4406]: 1155, 96.0, 1, 1, false
[4406]: 884, 89.0, 1, 5, false
[4406]: 1205, 83.0, 1, 1, false
[4406]: 882, 80.0, 3, 3, false
[4406]: 556, 63.0, 1, 1, false
[4406]: 1381, 63.0, 1, 1, false
[4406]: 830, 39.0, 5, 5, false
[4406]: 439, 82.0, 1, 1, false
[4406]: 437, 83.0, 1, 1, false
[4406]: 7937, 85.0, 1, 5, false
[4406]: 1437, 62.0, 1, 5, false
[4406]: 1623, 54.0, 1, 1, false
[4406]: 1621, 40.0, 1, 1, false
[4406]: 1619, 39.0, 1, 1, false
[4406]: 1617, 2.0, 1, 1, false
[4406]: 2357, 54.0, 1, 1, false
[4406]: 995, 75.0, 3000, 4300, false
[4406]: 555, 73.0, 5, 5, false
[4406]: 557, 58.0, 5, 5, false
[4406]: 2142, 44.0, 1, 1, false
[4406]: 558, 91.0, 1, 1, false
[4406]: 1442, 52.0, 1, 1, false
[4406]: 1462, 44.0, 1, 1, false
[4406]: 987, 8.0, 1, 1, false
[4406]: 985, 7.0, 1, 1, false
[4406]: 2366, 5.0, 1, 1, false
[4406]: 0, 0.0, 0, 0, true
[7]: 526, 100.0, 1, 1, false
[7]: 5345, 36.0, 1, 1, false
[7]: 5341, 93.0, 1, 1, false
[7]: 5329, 78.0, 1, 1, false
[7]: 5331, 52.0, 1, 1, false
[7]: 5324, 1.0, 1, 1, false
[7]: 5323, 75.0, 1, 1, false
[7]: 5318, 1.0, 1, 1, false
[7]: 5322, 1.0, 1, 1, false
[7]: 5321, 1.0, 1, 1, false
[7]: 12148, 1.0, 1, 1, false
[7]: 1965, 77.0, 1, 1, false
[7]: 313, 90.0, 1, 1, false
[7]: 562, 1.0, 2, 2, false
[7]: 556, 1.0, 2, 2, false
[7]: 554, 1.0, 6, 6, false
[7]: 558, 1.0, 9, 9, false
[7]: 1440, 62.0, 1, 1, false
[7]: 882, 1.0, 7, 7, false
[7]: 877, 87.0, 3, 7, false
[7]: 1139, 80.0, 1, 1, false
[7]: 1203, 1.0, 1, 1, false
[7]: 436, 81.0, 1, 1, false
[7]: 207, 60.0, 1, 1, false
[7]: 5320, 1.0, 1, 1, false
[7]: 213, 72.0, 1, 1, false
[7]: 211, 63.0, 1, 1, false
[7]: 217, 72.0, 1, 1, false
[7]: 5319, 1.0, 1, 1, false
[7]: 995, 1.0, 1, 3, false
[4407]: 526, 100.0, 1, 1, false
[4407]: 1203, 86.0, 1, 1, false
[4407]: 1139, 86.0, 1, 1, false
[4407]: 882, 99.0, 1, 4, false
[4407]: 1277, 79.0, 1, 1, false
[4407]: 877, 96.0, 8, 8, false
[4407]: 556, 70.0, 1, 1, false
[4407]: 1237, 73.0, 1, 1, false
[4407]: 1173, 63.0, 1, 1, false
[4407]: 1103, 68.0, 1, 1, false
[4407]: 1351, 28.0, 1, 1, false
[4407]: 825, 49.0, 5, 5, false
[4407]: 1189, 26.0, 1, 1, false
[4407]: 1321, 32.0, 1, 1, false
[4407]: 1007, 32.0, 1, 1, false
[4407]: 1203, 27.0, 1, 1, false
[4407]: 884, 45.0, 1, 3, false
[4407]: 1153, 30.0, 1, 1, false
[4407]: 556, 93.0, 1, 2, false
[4407]: 557, 92.0, 4, 4, false
[4407]: 559, 80.0, 7, 7, false
[4407]: 555, 86.0, 6, 6, false
[4407]: 558, 66.0, 2, 6, false
[4407]: 565, 42.0, 1, 1, false
[4407]: 562, 52.0, 1, 1, false
[4407]: 561, 6.0, 1, 1, false
[4407]: 199, 71.0, 1, 1, false
[4407]: 201, 72.0, 1, 1, false
[4407]: 203, 60.0, 1, 1, false
[4407]: 205, 56.0, 1, 1, false
[4407]: 207, 33.0, 1, 1, false
[4407]: 209, 43.0, 1, 1, false
[4407]: 211, 34.0, 1, 1, false
[4407]: 213, 25.0, 1, 1, false
[4407]: 215, 32.0, 1, 1, false
[4407]: 2485, 48.0, 1, 1, false
[4407]: 217, 28.0, 1, 1, false
[4407]: 1438, 83.0, 1, 1, false
[4407]: 1917, 94.0, 1, 1, false
[4407]: 2307, 91.0, 1, 1, false
[4407]: 1965, 91.0, 1, 1, false
[4407]: 526, 50.0, 1, 1, false
[4407]: 995, 75.0, 400, 1000, false
[4407]: 288, 66.0, 1, 1, false
[4407]: 1987, 64.0, 1, 1, false
[4407]: 2138, 63.0, 1, 1, false
[4407]: 1009, 34.0, 1, 1, false
[4407]: 1440, 54.0, 1, 1, false
[4407]: 946, 25.0, 1, 1, false
[4407]: 1448, 48.0, 1, 1, false
[4407]: 438, 2.0, 1, 1, false
[4408]: 526, 100.0, 1, 1, false
[4408]: 1203, 75.0, 1, 1, false
[4408]: 1139, 93.0, 1, 1, false
[4408]: 882, 96.0, 1, 4, false
[4408]: 1277, 88.0, 1, 1, false
[4408]: 877, 84.0, 8, 8, false
[4408]: 556, 65.0, 1, 1, false
[4408]: 1237, 66.0, 1, 1, false
[4408]: 1173, 62.0, 1, 1, false
[4408]: 1103, 72.0, 1, 1, false
[4408]: 1351, 39.0, 1, 1, false
[4408]: 825, 34.0, 5, 5, false
[4408]: 1189, 28.0, 1, 1, false
[4408]: 1321, 26.0, 1, 1, false
[4408]: 1007, 27.0, 1, 1, false
[4408]: 1203, 39.0, 1, 1, false
[4408]: 884, 30.0, 1, 3, false
[4408]: 1153, 36.0, 1, 1, false
[4408]: 556, 76.0, 1, 2, false
[4408]: 557, 80.0, 4, 4, false
[4408]: 559, 84.0, 7, 7, false
[4408]: 555, 83.0, 6, 6, false
[4408]: 558, 72.0, 2, 6, false
[4408]: 565, 28.0, 1, 1, false
[4408]: 562, 46.0, 1, 1, false
[4408]: 561, 5.0, 1, 1, false
[4408]: 199, 60.0, 1, 1, false
[4408]: 201, 62.0, 1, 1, false
[4408]: 203, 69.0, 1, 1, false
[4408]: 205, 72.0, 1, 1, false
[4408]: 207, 27.0, 1, 1, false
[4408]: 209, 34.0, 1, 1, false
[4408]: 211, 42.0, 1, 1, false
[4408]: 213, 43.0, 1, 1, false
[4408]: 215, 26.0, 1, 1, false
[4408]: 2485, 26.0, 1, 1, false
[4408]: 217, 44.0, 1, 1, false
[4408]: 1438, 94.0, 1, 1, false
[4408]: 1917, 81.0, 1, 1, false
[4408]: 2307, 78.0, 1, 1, false
[4408]: 1965, 84.0, 1, 1, false
[4408]: 526, 50.0, 1, 1, false
[4408]: 995, 75.0, 400, 1000, false
[4408]: 288, 55.0, 1, 1, false
[4408]: 1987, 59.0, 1, 1, false
[4408]: 2138, 56.0, 1, 1, false
[4408]: 1009, 26.0, 1, 1, false
[4408]: 1440, 27.0, 1, 1, false
[4408]: 946, 46.0, 1, 1, false
[4408]: 1448, 42.0, 1, 1, false
[4408]: 438, 2.0, 1, 1, false
[9]: 526, 100.0, 1, 1, false
[9]: 5318, 80.0, 1, 4, false
[9]: 5319, 94.0, 4, 4, false
[9]: 5324, 88.0, 4, 4, false
[9]: 5322, 80.0, 3, 4, false
[9]: 5320, 61.0, 3, 3, false
[9]: 5323, 40.0, 1, 3, false
[9]: 5321, 2.0, 2, 2, false
[9]: 556, 63.0, 6, 6, false
[9]: 557, 98.0, 3, 6, false
[9]: 554, 87.0, 2, 2, false
[9]: 565, 53.0, 1, 4, false
[9]: 561, 39.0, 1, 1, false
[9]: 562, 34.0, 1, 1, false
[9]: 1446, 84.0, 1, 1, false
[9]: 1458, 26.0, 1, 1, false
[9]: 1203, 80.0, 1, 1, false
[9]: 1339, 50.0, 1, 1, false
[9]: 1279, 26.0, 1, 1, false
[9]: 882, 63.0, 1, 5, false
[9]: 884, 91.0, 1, 2, false
[9]: 9140, 93.0, 2, 2, false
[9]: 886, 70.0, 1, 11, false
[9]: 199, 66.0, 1, 1, false
[9]: 1947, 41.0, 1, 1, false
[9]: 995, 77.0, 1, 667, false
[9]: 440, 40.0, 1, 1, false
[9]: 1987, 75.0, 3, 3, false
[9]: 2347, 57.0, 1, 1, false
[9]: 1115, 35.0, 1, 1, false
[9]: 2353, 30.0, 1, 1, false
[4409]: 526, 100.0, 1, 1, false
[4409]: 1203, 97.0, 1, 1, false
[4409]: 1139, 94.0, 1, 1, false
[4409]: 882, 98.0, 1, 4, false
[4409]: 1277, 75.0, 1, 1, false
[4409]: 877, 95.0, 8, 8, false
[4409]: 556, 70.0, 1, 1, false
[4409]: 1237, 64.0, 1, 1, false
[4409]: 1173, 70.0, 1, 1, false
[4409]: 1103, 73.0, 1, 1, false
[4409]: 1351, 40.0, 1, 1, false
[4409]: 825, 27.0, 5, 5, false
[4409]: 1189, 30.0, 1, 1, false
[4409]: 1321, 52.0, 1, 1, false
[4409]: 1007, 28.0, 1, 1, false
[4409]: 1203, 44.0, 1, 1, false
[4409]: 884, 49.0, 1, 3, false
[4409]: 1153, 33.0, 1, 1, false
[4409]: 556, 80.0, 1, 2, false
[4409]: 557, 79.0, 4, 4, false
[4409]: 559, 95.0, 7, 7, false
[4409]: 555, 83.0, 6, 6, false
[4409]: 558, 61.0, 2, 6, false
[4409]: 565, 38.0, 1, 1, false
[4409]: 562, 35.0, 1, 1, false
[4409]: 561, 6.0, 1, 1, false
[4409]: 199, 60.0, 1, 1, false
[4409]: 201, 68.0, 1, 1, false
[4409]: 203, 59.0, 1, 1, false
[4409]: 205, 73.0, 1, 1, false
[4409]: 207, 34.0, 1, 1, false
[4409]: 209, 52.0, 1, 1, false
[4409]: 211, 43.0, 1, 1, false
[4409]: 213, 50.0, 1, 1, false
[4409]: 215, 38.0, 1, 1, false
[4409]: 2485, 33.0, 1, 1, false
[4409]: 217, 34.0, 1, 1, false
[4409]: 1438, 98.0, 1, 1, false
[4409]: 1917, 97.0, 1, 1, false
[4409]: 2307, 98.0, 1, 1, false
[4409]: 1965, 81.0, 1, 1, false
[4409]: 526, 50.0, 1, 1, false
[4409]: 995, 75.0, 400, 1000, false
[4409]: 288, 60.0, 1, 1, false
[4409]: 1987, 57.0, 1, 1, false
[4409]: 2138, 64.0, 1, 1, false
[4409]: 1009, 39.0, 1, 1, false
[4409]: 1440, 32.0, 1, 1, false
[4409]: 946, 53.0, 1, 1, false
[4409]: 1448, 50.0, 1, 1, false
[4409]: 438, 7.0, 1, 1, false
[4410]: 526, 100.0, 1, 1, false
[4410]: 1203, 85.0, 1, 1, false
[4410]: 1139, 76.0, 1, 1, false
[4410]: 882, 85.0, 1, 4, false
[4410]: 1277, 92.0, 1, 1, false
[4410]: 877, 84.0, 8, 8, false
[4410]: 556, 66.0, 1, 1, false
[4410]: 1237, 66.0, 1, 1, false
[4410]: 1173, 55.0, 1, 1, false
[4410]: 1103, 58.0, 1, 1, false
[4410]: 1351, 37.0, 1, 1, false
[4410]: 825, 41.0, 5, 5, false
[4410]: 1189, 44.0, 1, 1, false
[4410]: 1321, 37.0, 1, 1, false
[4410]: 1007, 51.0, 1, 1, false
[4410]: 1203, 44.0, 1, 1, false
[4410]: 884, 49.0, 1, 3, false
[4410]: 1153, 49.0, 1, 1, false
[4410]: 556, 82.0, 1, 2, false
[4410]: 557, 94.0, 4, 4, false
[4410]: 559, 99.0, 7, 7, false
[4410]: 555, 75.0, 6, 6, false
[4410]: 558, 74.0, 2, 6, false
[4410]: 565, 28.0, 1, 1, false
[4410]: 562, 25.0, 1, 1, false
[4410]: 561, 1.0, 1, 1, false
[4410]: 199, 68.0, 1, 1, false
[4410]: 201, 72.0, 1, 1, false
[4410]: 203, 59.0, 1, 1, false
[4410]: 205, 60.0, 1, 1, false
[4410]: 207, 39.0, 1, 1, false
[4410]: 209, 41.0, 1, 1, false
[4410]: 211, 28.0, 1, 1, false
[4410]: 213, 30.0, 1, 1, false
[4410]: 215, 42.0, 1, 1, false
[4410]: 2485, 31.0, 1, 1, false
[4410]: 217, 46.0, 1, 1, false
[4410]: 1438, 92.0, 1, 1, false
[4410]: 1917, 89.0, 1, 1, false
[4410]: 2307, 93.0, 1, 1, false
[4410]: 1965, 84.0, 1, 1, false
[4410]: 526, 50.0, 1, 1, false
[4410]: 995, 76.0, 600, 1200, false
[4410]: 288, 71.0, 1, 1, false
[4410]: 1987, 71.0, 1, 1, false
[4410]: 2138, 72.0, 1, 1, false
[4410]: 1009, 30.0, 1, 1, false
[4410]: 1440, 44.0, 1, 1, false
[4410]: 946, 37.0, 1, 1, false
[4410]: 1448, 29.0, 1, 1, false
[4410]: 438, 8.0, 1, 1, false
[4411]: 526, 100.0, 1, 1, false
[4411]: 1203, 76.0, 1, 1, false
[4411]: 1139, 92.0, 1, 1, false
[4411]: 882, 96.0, 1, 4, false
[4411]: 1277, 95.0, 1, 1, false
[4411]: 877, 93.0, 8, 8, false
[4411]: 556, 66.0, 1, 1, false
[4411]: 1237, 72.0, 1, 1, false
[4411]: 1173, 73.0, 1, 1, false
[4411]: 1103, 57.0, 1, 1, false
[4411]: 1351, 37.0, 1, 1, false
[4411]: 825, 48.0, 5, 5, false
[4411]: 1189, 52.0, 1, 1, false
[4411]: 1321, 45.0, 1, 1, false
[4411]: 1007, 32.0, 1, 1, false
